City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
106,Avarua,CK,2/3/2022 21:01,-21.2078,-159.775,82.45,78,75,17.27
107,Mataura,NZ,2/3/2022 21:01,-46.1927,168.8643,52.48,99,100,0.18
108,Arraial Do Cabo,BR,2/3/2022 21:01,-22.9661,-42.0278,75.7,89,100,13.69
109,Kahului,US,2/3/2022 21:01,20.8947,-156.47,78.96,72,3,10
110,Gotsu,JP,2/3/2022 21:01,35,132.2167,41.56,55,100,11.56
111,Saint-Pierre,RE,2/3/2022 21:01,-21.3393,55.4781,80.24,93,100,29.53
112,Pocone,BR,2/3/2022 21:01,-16.2567,-56.6228,82.71,80,82,5.95
113,Manacapuru,BR,2/3/2022 21:01,-3.2997,-60.6206,81.72,74,70,2.1
114,Newcastleton,GB,2/3/2022 21:01,55.1796,-2.8127,48.24,94,100,15.41
115,Bethel,US,2/3/2022 21:01,41.3712,-73.414,43.41,100,100,2.82
116,Gat,IL,2/3/2022 21:03,31.61,34.7642,55.4,100,5,13.02
117,Kaitangata,NZ,2/3/2022 21:03,-46.2817,169.8464,48.83,96,100,1.14
118,Smithers,CA,2/3/2022 21:03,54.7804,-127.1743,28.76,95,100,2.91
119,Mar Del Plata,AR,2/3/2022 21:00,-38.0023,-57.5575,70.88,92,80,7
120,Upernavik,GL,2/3/2022 21:03,72.7868,-56.1549,0,64,100,3.49
121,Faanui,PF,2/3/2022 21:03,-16.4833,-151.75,80.17,76,85,15.86
122,Severo-Kurilsk,RU,2/3/2022 21:03,50.6789,156.125,30.11,87,100,7.85
123,Torbay,CA,2/3/2022 21:03,47.6666,-52.7314,35.58,83,100,5.99
124,Yellowknife,CA,2/3/2022 21:03,62.456,-114.3525,-16.58,77,49,5.01
125,Hithadhoo,MV,2/3/2022 21:03,-0.6,73.0833,81.27,72,85,9.86
126,Pirassununga,BR,2/3/2022 21:03,-21.9961,-47.4258,77.22,87,72,2.75
127,Saldanha,ZA,2/3/2022 21:03,-33.0117,17.9442,63.27,83,8,14.7
128,Katsuura,JP,2/3/2022 21:00,35.1333,140.3,42.19,62,99,10.2
129,Amga,RU,2/3/2022 21:03,60.8953,131.9608,-17.41,99,100,1.54
130,Kapaa,US,2/3/2022 21:03,22.0752,-159.319,79.12,65,20,1.99
131,Kyzyl-Suu,KG,2/3/2022 21:03,42.3414,78.0056,22.03,91,100,5.41
132,Ust-Omchug,RU,2/3/2022 21:03,61.15,149.6333,-13.18,92,44,7.49
133,Victoria,HK,2/3/2022 21:01,22.2855,114.1577,54.32,84,90,1.01
134,Bathsheba,BB,2/3/2022 21:03,13.2167,-59.5167,81.21,54,20,16.11
135,Bambous Virieux,MU,2/3/2022 21:03,-20.3428,57.7575,80.22,91,100,26.22
136,Atar,MR,2/3/2022 21:02,20.5169,-13.0499,73.92,10,0,8.32
137,Champerico,GT,2/3/2022 21:00,14.3,-91.9167,89.76,59,6,13.47
138,Butaritari,KI,2/3/2022 21:03,3.0707,172.7902,81.54,75,22,14
139,La Ronge,CA,2/3/2022 21:03,55.1001,-105.2842,-6.68,83,39,8.46
140,Qaanaaq,GL,2/3/2022 21:03,77.484,-69.3632,-14.1,60,100,7.02
141,Tautira,PF,2/3/2022 21:02,-17.7333,-149.15,87.82,69,10,14.74
142,Karatau,KZ,2/3/2022 21:03,43.1667,70.4667,28.27,83,2,0.38
143,Vao,NC,2/3/2022 21:03,-22.6667,167.4833,80.1,85,81,16.91
144,Bandarbeyla,SO,2/3/2022 21:03,9.4942,50.8122,74.95,65,0,16.46
145,Prince Rupert,CA,2/3/2022 20:59,54.3161,-130.3201,42.89,93,100,14.97
146,Georgetown,MY,2/3/2022 21:03,5.4112,100.3354,80.89,82,20,3.44
147,Berlevag,NO,2/3/2022 21:03,70.8578,29.0864,24.75,80,100,9.22
148,Yar-Sale,RU,2/3/2022 21:03,66.8333,70.8333,-16.96,100,91,3.83
149,Tigre,AR,2/3/2022 21:03,-34.426,-58.5796,80.22,79,75,11.5
150,Cidreira,BR,2/3/2022 21:03,-30.1811,-50.2056,77.5,83,57,19.55
151,Punta Arenas,CL,2/3/2022 21:03,-53.15,-70.9167,50.02,53,0,5.75
152,Port Alfred,ZA,2/3/2022 21:03,-33.5906,26.891,71.31,79,72,17.87
153,Aklavik,CA,2/3/2022 21:03,68.2191,-135.0107,-23.8,99,94,4.18
154,West Monroe,US,2/3/2022 21:04,32.5185,-92.1476,35.6,90,100,10.36
155,Geraldton,AU,2/3/2022 21:04,-28.7667,114.6,72.01,40,0,10.36
156,Jennings,US,2/3/2022 21:04,38.7192,-90.2604,20.82,90,100,5.01
157,Atuona,PF,2/3/2022 21:04,-9.8,-139.0333,78.28,75,6,13.96
158,Chuy,UY,2/3/2022 21:04,-33.6971,-53.4616,78.49,77,85,11.14
159,Bluff,NZ,2/3/2022 21:03,-46.6,168.3333,52.81,84,100,3.58
160,Los Llanos De Aridane,ES,2/3/2022 21:04,28.6585,-17.9182,64.13,64,0,7
161,Juruti,BR,2/3/2022 21:04,-2.1522,-56.0922,85.17,64,100,2.19
162,Wenling,CN,2/3/2022 21:04,28.3669,121.36,41.92,94,100,11.27
163,Shaowu,CN,2/3/2022 21:04,27.3409,117.4831,39.97,95,100,2.62
164,Saint George,US,2/3/2022 21:00,37.1041,-113.5841,47.43,22,0,4
165,Babu,CN,2/3/2022 21:04,24.4167,111.5167,40.17,89,44,5.77
166,Tsaratanana,MG,2/3/2022 21:04,-16.7833,47.65,73.36,90,100,3.76
167,Zadar,HR,2/3/2022 21:04,44.1197,15.2422,43.65,75,0,1.14
168,Moerai,PF,2/3/2022 21:04,-22.4333,-151.3333,79.12,76,36,13.53
169,Mangochi,MW,2/3/2022 21:04,-14.4782,35.2645,72.46,88,34,0.92
170,Erenhot,CN,2/3/2022 21:04,43.6475,111.9767,-3.91,93,6,4.32
171,Manbij,SY,2/3/2022 21:04,36.5281,37.9549,45.37,78,99,15.05
172,Guerrero Negro,MX,2/3/2022 21:04,27.9769,-114.0611,62.73,24,0,7.92
173,Hermanus,ZA,2/3/2022 21:04,-34.4187,19.2345,63.9,75,8,9.8
174,Kodiak,US,2/3/2022 21:04,57.79,-152.4072,40.51,87,100,11.5
175,Jalu,LY,2/3/2022 21:04,29.0331,21.5482,53.33,53,29,17.22
176,Beroroha,MG,2/3/2022 21:04,-21.6667,45.1667,77.09,61,15,2.86
177,Hamilton,US,2/3/2022 20:59,39.1834,-84.5333,30.24,93,100,3
178,Provideniya,RU,2/3/2022 21:04,64.3833,-173.3,2.01,64,98,24.49
179,Cockburn Town,TC,2/3/2022 21:04,21.4612,-71.1419,74.98,75,66,24.52
180,Turbat,PK,2/3/2022 21:04,26.0023,63.044,61.97,17,0,4.65
181,Kavaratti,IN,2/3/2022 21:04,10.5669,72.642,78.82,69,6,7.27
182,Cozumel,MX,2/3/2022 21:04,20.5083,-86.9458,84.27,76,40,8.01
183,Mwinilunga,ZM,2/3/2022 21:04,-11.7358,24.4293,62.83,98,100,6.89
184,Airai,TL,2/3/2022 21:04,-8.9266,125.4092,60.44,94,100,2.53
185,Nieuw Amsterdam,SR,2/3/2022 21:04,5.8833,-55.0833,77.02,89,40,5.75
186,San Jose,US,2/3/2022 21:01,37.3394,-121.895,65.89,29,75,13
187,Bengkulu,ID,2/3/2022 21:04,-3.8004,102.2655,76.05,89,100,3.87
188,Agirish,RU,2/3/2022 21:04,61.9247,63.0231,13.87,97,100,1.39
189,Esperance,AU,2/3/2022 21:04,-33.8667,121.9,62.24,80,0,16.37
190,Abu Dhabi,AE,2/3/2022 21:04,24.4667,54.3667,68.97,78,0,5.75
191,Gizo,SB,2/3/2022 21:04,-8.103,156.8419,78.64,89,100,16.31
192,Haileybury,CA,2/3/2022 21:04,47.449,-79.6373,2.14,78,99,6.2
193,Clyde River,CA,2/3/2022 21:04,70.4692,-68.5914,-10.28,98,100,10.87
194,Nizhneudinsk,RU,2/3/2022 21:04,54.9076,99.0276,-3.68,96,49,3
195,Grand Gaube,MU,2/3/2022 21:04,-20.0064,57.6608,80.38,83,100,14
196,Lac-Megantic,CA,2/3/2022 21:01,45.5834,-70.8823,35.62,95,100,6.46
197,Port Elizabeth,ZA,2/3/2022 21:04,-33.918,25.5701,67.1,74,95,14.43
198,Sabha,LY,2/3/2022 21:04,27.0377,14.4283,51.39,46,0,6.76
199,Jamestown,US,2/3/2022 21:05,42.097,-79.2353,27.3,69,100,7
200,Rockland,US,2/3/2022 21:05,41.1668,-74.0496,44.83,83,100,1.9
201,Svetlaya,RU,2/3/2022 21:05,46.5389,138.3297,3.87,76,1,9.53
202,Saint-Augustin,CA,2/3/2022 21:05,51.226,-58.6502,31.39,97,100,14.94
203,Lompoc,US,2/3/2022 21:05,34.6391,-120.4579,69.1,42,0,9.22
204,Chimoio,MZ,2/3/2022 21:05,-19.1164,33.4833,69.04,91,12,1.59
205,Blankenberge,BE,2/3/2022 21:05,51.3131,3.1323,46.35,81,100,1.99
206,Acapulco,MX,2/3/2022 21:05,16.8634,-99.8901,84.02,65,20,5.75
207,Sao Jose Do Campestre,BR,2/3/2022 21:05,-6.3156,-35.7139,81.27,63,44,12.41
208,Bixby,US,2/3/2022 21:02,35.942,-95.8833,21.11,70,100,14.97
209,Luderitz,NA,2/3/2022 21:05,-26.6481,15.1594,68.95,68,2,15.46
210,Omboue,GA,2/3/2022 21:05,-1.5746,9.2618,76.6,85,93,4.81
211,Oksfjord,NO,2/3/2022 21:05,70.2396,22.3479,20.32,94,98,12.93
212,Lebu,CL,2/3/2022 21:05,-37.6167,-73.65,63.34,82,99,14.09
213,Woerden,NL,2/3/2022 21:05,52.0833,4.8833,47.01,79,98,7
214,Thompson,CA,2/3/2022 21:05,55.7435,-97.8558,-7.4,80,76,8.57
215,Ketchikan,US,2/3/2022 21:05,55.3422,-131.6461,44.58,93,100,11.5
216,Darhan,MN,2/3/2022 21:05,49.4867,105.9228,-11.69,97,16,4.12
217,Vardo,NO,2/3/2022 21:03,70.3705,31.1107,22.98,93,100,2.3
218,Innisfail,AU,2/3/2022 21:05,-17.5333,146.0333,76.14,95,100,4.03
219,Mehamn,NO,2/3/2022 21:05,71.0357,27.8492,24.98,86,100,3.44
220,Bilibino,RU,2/3/2022 21:05,68.0546,166.4372,-7.65,64,0,4.72
221,Hambantota,LK,2/3/2022 21:05,6.1241,81.1185,73.94,83,1,5.41
222,Mahebourg,MU,2/3/2022 21:04,-20.4081,57.7,80.26,91,100,27.04
223,Broken Hill,AU,2/3/2022 21:05,-31.95,141.4333,58.32,50,0,19.04
224,Bay City,US,2/3/2022 21:05,43.5945,-83.8889,19.96,76,40,10
225,Waipawa,NZ,2/3/2022 21:05,-41.4122,175.5153,69.3,57,51,8.84
226,Payo,ID,2/3/2022 21:05,-3.7508,103.6372,71.46,98,99,2.06
227,Vevey,CH,2/3/2022 21:05,46.4612,6.8433,48.04,92,100,1.99
228,Mago,RU,2/3/2022 21:05,53.2514,140.1822,0.63,97,100,6.15
229,Kenai,US,2/3/2022 21:05,60.5544,-151.2583,24.1,93,100,28.77
230,Coahuayana,MX,2/3/2022 21:05,18.7333,-103.6833,89.08,37,0,8.08
231,Cherskiy,RU,2/3/2022 21:05,68.75,161.3,-30.59,100,6,3.85
232,Sao Joao Da Barra,BR,2/3/2022 21:03,-21.6403,-41.0511,78.89,92,100,10.94
233,Narsaq,GL,2/3/2022 21:03,60.9167,-46.05,28.62,94,100,5.59
234,Puerto Ayora,EC,2/3/2022 21:05,-0.7393,-90.3518,84.16,85,19,5.99
235,Yinchuan,CN,2/3/2022 21:05,38.4681,106.2731,17.53,35,6,4.83
236,Valdivia,CL,2/3/2022 21:05,-39.8142,-73.2459,77.09,67,82,3.8
237,Sirvintos,LT,2/3/2022 21:05,55.05,24.95,24.35,97,100,4.97
238,Bilma,NE,2/3/2022 21:05,18.6853,12.9164,58.32,21,0,13.78
239,Bethalto,US,2/3/2022 21:05,38.9092,-90.0407,20.84,91,100,7
240,Margate,GB,2/3/2022 21:05,51.3813,1.3862,47.95,85,98,16.82
241,Severomuysk,RU,2/3/2022 21:05,56.1481,113.4267,-16.92,98,86,5.64
242,Hobyo,SO,2/3/2022 21:05,5.3505,48.5268,76.68,72,24,18.59
243,Sobolevo,RU,2/3/2022 21:05,54.4299,31.8996,15.73,97,97,7.23
244,Ribeira Grande,PT,2/3/2022 21:06,38.5167,-28.7,59.4,72,20,13.8
245,Camara De Lobos,PT,2/3/2022 21:06,32.6333,-16.9667,68,81,20,1.01
246,Antofagasta,CL,2/3/2022 21:05,-23.65,-70.4,74.21,57,5,11.56
247,Oktyabrskoye,RU,2/3/2022 21:06,43.0645,44.7417,26.74,100,100,2.24
248,East London,ZA,2/3/2022 21:06,-33.0153,27.9116,71.42,84,100,12.66
249,Nyazepetrovsk,RU,2/3/2022 21:06,56.0531,59.6028,30.63,97,100,8.93
250,Bontang,ID,2/3/2022 21:06,0.1333,117.5,76.86,86,100,5.66
251,Soderhamn,SE,2/3/2022 21:07,61.3037,17.0592,19.4,88,100,8.32
252,Bukama,CD,2/3/2022 21:07,-9.2,25.85,69.21,96,100,3.29
253,Gap,FR,2/3/2022 21:07,44.6667,6,30.79,67,100,4.21
254,Gornopravdinsk,RU,2/3/2022 21:07,60.05,69.9,24.22,95,100,10.16
255,Awjilah,LY,2/3/2022 21:03,29.1081,21.2869,53.42,56,24,15.9
