City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
132,Torbay,CA,47.6666,-52.7314,49.75,95,100,27.63,light rain
133,Hilo,US,19.7297,-155.09,69.62,89,100,5.75,light rain
134,Sosua,DO,19.7667,-70.5167,80.58,78,75,17.27,broken clouds
135,Hervey Bay,AU,-25.2986,152.8535,70.03,56,83,23.67,broken clouds
136,Bubaque,GW,11.2833,-15.8333,79.52,53,0,11.1,clear sky
137,Ratnagiri,IN,16.9833,73.3,71.47,78,9,7.09,clear sky
138,Anderson,US,34.5334,-82.6499,41.88,53,0,4.61,clear sky
139,Aguimes,ES,27.9054,-15.4461,70.66,58,0,5.75,clear sky
140,Tawau,MY,4.2498,117.8871,77.13,89,99,5.41,overcast clouds
141,Valle Hermoso,MX,25.6667,-97.8333,42.93,49,0,13.31,clear sky
142,Mount Gambier,AU,-37.8333,140.7667,60.51,70,95,7.63,overcast clouds
143,Bambous Virieux,MU,-20.3428,57.7575,80.85,83,40,16.11,light rain
144,Sakaiminato,JP,35.55,133.2333,35.58,64,75,13.8,broken clouds
145,Hammerfest,NO,70.6634,23.6821,28.85,74,40,29.93,scattered clouds
146,Swanton,US,41.5887,-83.8911,20.97,86,100,5.75,haze
147,Saint-Philippe,RE,-21.3585,55.7679,81.99,85,100,19.8,light rain
148,Nouadhibou,MR,20.931,-17.0347,73.38,64,0,14.97,clear sky
149,Nanortalik,GL,60.1432,-45.2371,14.34,59,13,27.51,few clouds
150,Husavik,IS,66.0449,-17.3389,12.11,94,98,10.42,snow
151,Katsuura,JP,35.1333,140.3,34.11,37,54,4.47,broken clouds
152,Lagoa,PT,39.05,-27.9833,58.59,71,61,15.32,broken clouds
153,Longyearbyen,SJ,78.2186,15.6401,10.24,61,20,27.63,few clouds
154,Pangkalanbuun,ID,-2.6833,111.6167,74.97,95,100,2.68,overcast clouds
155,Laguna,US,38.421,-121.4238,51.35,87,0,0.0,mist
156,Seydi,TM,39.4816,62.9137,53.71,34,32,17.83,scattered clouds
157,San Jose,US,37.3394,-121.895,56.86,58,75,4.61,broken clouds
158,Cabo San Lucas,MX,22.8909,-109.9124,67.51,66,0,3.44,clear sky
159,Caravelas,BR,-17.7125,-39.2481,85.19,57,20,10.47,few clouds
160,Umm Kaddadah,SD,13.6017,26.6876,69.03,13,63,17.09,broken clouds
161,Usinsk,RU,65.9939,57.5281,-14.28,100,60,3.74,broken clouds
162,Tavricheskoye,RU,54.5851,73.6395,6.71,83,100,7.38,overcast clouds
163,Opunake,NZ,-39.4556,173.8583,69.85,99,100,7.67,overcast clouds
164,Kuito,AO,-12.3833,16.9333,65.08,70,99,4.9,overcast clouds
165,Souillac,MU,-20.5167,57.5167,80.98,83,40,16.11,scattered clouds
166,Victoria,HK,22.2855,114.1577,61.25,82,98,4.0,overcast clouds
167,Aksu,CN,41.1231,80.2644,26.33,43,58,4.38,broken clouds
168,Riyadh,SA,24.6877,46.7219,60.94,24,0,12.66,clear sky
169,Yarmouth,US,41.7057,-70.2286,27.1,82,100,13.8,overcast clouds
170,Vardo,NO,70.3705,31.1107,26.31,78,100,27.2,overcast clouds
171,Sitka,US,57.0531,-135.33,42.69,81,100,9.22,light rain
172,Kenai,US,60.5544,-151.2583,27.09,95,100,10.36,light snow
173,Aquiraz,BR,-3.9014,-38.3911,86.09,72,32,11.59,scattered clouds
174,Pacific Grove,US,36.6177,-121.9166,56.57,57,0,6.91,clear sky
175,Castro,BR,-24.7911,-50.0119,74.91,85,86,8.81,overcast clouds
176,Terrace Bay,CA,48.7834,-87.1,-4.38,83,100,4.72,overcast clouds
177,Ico,BR,-6.4011,-38.8622,93.15,38,79,3.38,broken clouds
178,Namibe,AO,-15.1961,12.1522,77.63,59,31,13.6,scattered clouds
179,Rio Tercero,AR,-32.173,-64.1141,69.46,50,87,19.39,light rain
180,Aksay,RU,47.26,39.87,30.25,84,94,8.99,overcast clouds
181,Swan Hill,AU,-35.3378,143.5544,67.86,38,90,6.42,overcast clouds
182,Topola,RS,44.2542,20.6825,44.38,88,100,5.46,light rain
183,Areosa,PT,41.7178,-8.8571,63.32,62,2,11.48,clear sky
184,San Andres,CO,12.5847,-81.7006,77.02,88,75,10.36,broken clouds
185,Isla Mujeres,MX,21.2311,-86.731,78.85,76,37,10.83,scattered clouds
186,Road Town,VG,18.4167,-64.6167,77.09,94,40,13.8,thunderstorm with light rain
187,Klaksvik,FO,62.2266,-6.589,38.32,81,98,44.94,overcast clouds
188,Yar-Sale,RU,66.8333,70.8333,-7.6,100,67,3.78,broken clouds
189,Butaritari,KI,3.0707,172.7902,82.49,69,15,19.51,few clouds
190,Gao,ML,16.6362,1.637,81.41,7,0,15.86,clear sky
191,Benjamin Constant,BR,-4.3831,-70.0311,82.45,83,75,3.44,broken clouds
192,Carnarvon,AU,-24.8667,113.6333,80.92,74,22,9.69,few clouds
193,Maun,BW,-19.9833,23.4167,81.86,53,59,4.38,broken clouds
194,Saint George,US,37.1041,-113.5841,45.36,46,0,0.0,clear sky
195,Bredasdorp,ZA,-34.5322,20.0403,76.28,64,28,25.32,scattered clouds
196,Straumen,NO,63.8709,11.2999,35.94,83,97,13.82,overcast clouds
197,Leningradskiy,RU,69.3833,178.4167,-21.26,96,9,5.32,clear sky
198,Zhigansk,RU,66.7697,123.3711,-31.77,100,100,5.59,overcast clouds
199,Grand-Santi,GF,4.25,-54.3833,82.63,75,86,3.44,overcast clouds
200,Veraval,IN,20.9,70.3667,68.14,63,6,6.02,clear sky
201,Santa Lucia,ES,27.9117,-15.5407,65.77,60,0,5.75,clear sky
202,Kansanshi,ZM,-12.0951,26.4273,66.29,93,84,5.46,light rain
203,Kahului,US,20.8947,-156.47,74.84,77,20,5.75,few clouds
204,Malindi,KE,-3.2175,40.1191,78.62,86,100,8.63,overcast clouds
205,Roald,NO,62.5833,6.1333,40.33,70,40,14.97,scattered clouds
206,Mayo,US,38.8876,-76.5119,33.42,50,0,17.0,clear sky
207,Murray,US,40.6669,-111.888,36.3,62,0,1.99,clear sky
208,Itaueira,BR,-7.6033,-43.0256,91.92,43,54,4.03,broken clouds
209,Waterboro,US,43.5356,-70.7151,22.32,66,97,3.0,overcast clouds
210,Sao Filipe,CV,14.8961,-24.4956,75.36,66,0,8.48,clear sky
211,Port Elizabeth,ZA,-33.918,25.5701,71.1,83,75,13.8,broken clouds
212,Thompson,CA,55.7435,-97.8558,-36.24,67,20,0.0,few clouds
213,Fougamou,GA,-1.2154,10.5838,82.2,78,46,3.18,light rain
214,Lamu,KE,-2.2717,40.902,80.82,82,100,11.16,overcast clouds
215,Karasuk,RU,53.7377,78.0403,9.75,85,98,9.48,overcast clouds
216,Salinopolis,BR,-0.6136,-47.3561,81.54,74,100,8.25,overcast clouds
217,Port Hardy,CA,50.6996,-127.4199,40.75,93,75,6.91,broken clouds
218,Inongo,CD,-1.95,18.2667,82.29,60,83,2.98,broken clouds
219,Ilulissat,GL,69.2167,-51.1,6.82,51,75,14.97,broken clouds
220,Karasjok,NO,69.4719,25.5112,23.11,93,100,14.34,overcast clouds
221,Tabou,CI,4.423,-7.3528,84.13,66,77,10.6,broken clouds
222,Walvis Bay,NA,-22.9575,14.5053,72.55,68,8,10.36,clear sky
223,Ostrovnoy,RU,68.0531,39.5131,15.75,82,100,32.79,overcast clouds
224,Zhezkazgan,KZ,47.8043,67.7144,15.44,79,92,15.43,overcast clouds
225,Ponta Do Sol,PT,32.6667,-17.1,74.12,51,3,11.1,clear sky
226,Asau,RO,46.4333,26.4,43.72,90,51,5.44,broken clouds
227,Danshui,CN,22.7984,114.4672,60.94,71,100,3.29,overcast clouds
228,Quatre Cocos,MU,-20.2078,57.7625,80.71,83,100,16.46,light rain
229,Nantucket,US,41.2835,-70.0995,27.09,77,100,24.49,overcast clouds
230,San Patricio,US,28.017,-97.5169,41.94,44,2,7.47,clear sky
231,Iwaki,JP,37.05,140.8833,29.05,65,2,9.44,clear sky
232,Vila Franca Do Campo,PT,37.7167,-25.4333,63.01,76,99,12.73,overcast clouds
233,Tura,IN,25.5198,90.2201,51.73,89,44,0.65,scattered clouds
234,Hue,VN,16.4667,107.6,62.71,94,75,5.75,broken clouds
235,Azare,NG,11.6765,10.1948,84.43,11,0,13.06,clear sky
236,Waipawa,NZ,-41.4122,175.5153,55.45,97,100,13.27,light rain
237,Lorengau,PG,-2.0226,147.2712,80.53,79,28,8.48,scattered clouds
238,Samarai,PG,-10.6167,150.6667,80.24,83,100,10.98,overcast clouds
239,Norman Wells,CA,65.282,-126.8329,-10.52,93,94,6.26,overcast clouds
240,Narsaq,GL,60.9167,-46.05,7.02,68,0,6.06,clear sky
241,Cidreira,BR,-30.1811,-50.2056,85.91,62,89,8.28,heavy intensity rain
242,Vestmannaeyjar,IS,63.4427,-20.2734,31.19,51,20,9.22,few clouds
243,Coquimbo,CL,-29.9533,-71.3436,67.73,77,20,13.8,few clouds
244,Chabahar,IR,25.2919,60.643,72.16,70,12,7.14,few clouds
245,Kisangani,CD,0.5167,25.2,76.95,72,94,3.29,light rain
246,Garowe,SO,8.4054,48.4845,80.46,19,24,10.71,few clouds
247,Wad Madani,SD,14.4012,33.5199,73.8,12,3,13.82,clear sky
248,Haapiti,PF,-17.5667,-149.8667,74.93,71,4,14.58,clear sky
249,Mehamn,NO,71.0357,27.8492,20.34,88,72,17.09,broken clouds
250,Vao,NC,-22.6667,167.4833,79.9,87,99,12.46,overcast clouds
251,Chernyshevskiy,RU,63.0128,112.4714,-12.6,100,94,2.55,overcast clouds
252,Kinablangan,PH,7.6947,126.5503,77.47,85,61,5.93,broken clouds
253,Vostok,RU,46.4856,135.8833,-9.47,99,100,3.0,overcast clouds
254,Eluru,IN,16.7,81.1,75.29,88,52,1.21,broken clouds
255,Warmbad,NA,-28.45,18.7333,95.16,18,71,12.48,broken clouds
256,Dubai,AE,25.2582,55.3047,75.13,41,0,2.3,clear sky
257,Kalmunai,LK,7.4167,81.8167,76.41,77,5,9.64,clear sky
258,Dargaville,NZ,-35.9333,173.8833,72.55,86,98,6.22,overcast clouds
259,Fortuna,US,40.5982,-124.1573,42.98,95,100,4.0,overcast clouds
260,Ixtapa,MX,20.7,-105.2,72.23,73,100,3.44,overcast clouds
261,Buin,CL,-33.7333,-70.75,84.06,25,0,7.0,clear sky
262,Ozernovskiy,RU,51.5,156.5167,26.67,88,100,6.67,overcast clouds
263,Dryden,CA,49.7833,-92.7503,-0.11,78,100,12.66,overcast clouds
264,Shuyskoye,RU,59.3736,41.0305,3.65,99,50,4.56,scattered clouds
265,Ugoofaaru,MV,5.6667,73.0,81.59,70,16,12.57,few clouds
266,Pihani,IN,27.6333,80.2,53.47,78,0,5.23,clear sky
267,Codrington,AU,-38.2667,141.9667,57.54,85,97,8.97,overcast clouds
268,Beloha,MG,-25.1667,45.05,76.03,84,100,17.47,overcast clouds
269,Sechura,PE,-5.5569,-80.8222,79.97,56,69,5.46,broken clouds
270,Hasaki,JP,35.7333,140.8333,25.2,35,79,9.42,broken clouds
271,Constitucion,CL,-35.3333,-72.4167,71.69,53,0,13.33,clear sky
272,Svencionys,LT,55.15,26.1667,32.68,86,100,13.87,overcast clouds
273,Kruisfontein,ZA,-34.0033,24.7314,68.88,75,87,20.45,overcast clouds
274,Mezhdurechensk,RU,53.6942,88.0603,9.39,97,91,2.42,overcast clouds
275,Grindavik,IS,63.8424,-22.4338,28.87,86,75,6.91,broken clouds
276,Loiza,PR,18.4313,-65.8802,75.04,94,75,3.44,broken clouds
277,Nushki,PK,29.5542,66.0215,63.63,16,0,9.22,clear sky
278,Northam,GB,51.0333,-4.2167,52.02,88,100,26.26,overcast clouds
279,Kovdor,RU,67.5662,30.4758,19.6,87,100,9.98,overcast clouds
280,Thinadhoo,MV,0.5333,72.9333,82.78,73,100,13.91,overcast clouds
281,Haines Junction,CA,60.7522,-137.5108,1.35,85,100,4.61,overcast clouds
282,Saint-Joseph,RE,-21.3667,55.6167,80.98,81,100,17.34,light rain
283,Port Blair,IN,11.6667,92.75,80.64,83,40,5.75,mist
284,Rudsar,IR,37.1376,50.288,48.18,69,47,5.21,scattered clouds
285,Suleja,NG,9.1758,7.1808,94.19,10,4,5.19,clear sky
286,Iqaluit,CA,63.7506,-68.5145,-25.87,60,75,1.99,broken clouds
287,Akyab,MM,20.15,92.9,70.92,82,10,6.06,clear sky
288,Maku,IR,39.2911,44.4521,25.41,33,20,18.41,few clouds
289,Hibbing,US,47.4272,-92.9377,4.6,49,100,13.8,snow
290,Aasiaat,GL,68.7098,-52.8699,-3.12,85,100,7.76,overcast clouds
291,Mana,GF,5.6592,-53.7767,81.99,72,71,8.25,broken clouds
292,Akdagmadeni,TR,39.6603,35.8836,15.66,87,20,3.89,few clouds
293,Saint-Augustin,CA,51.226,-58.6502,4.71,94,100,15.37,light snow
294,Georgetown,MY,5.4112,100.3354,80.89,81,40,0.0,light rain
295,Agadez,NE,19.75,10.25,70.05,15,1,5.03,clear sky
296,Malinovoye Ozero,RU,51.6753,79.7825,2.77,94,7,6.29,clear sky
297,Banda Aceh,ID,5.5577,95.3222,79.39,79,79,6.55,moderate rain
298,Pailitas,CO,8.9565,-73.6255,93.29,37,12,2.8,few clouds
299,Olafsvik,IS,64.8945,-23.7142,29.48,65,100,17.96,overcast clouds
300,Ahipara,NZ,-35.1667,173.1667,70.86,97,97,6.06,overcast clouds
301,Dwarka,IN,22.2394,68.9678,71.26,61,0,6.71,clear sky
302,Nome,US,64.5011,-165.4064,1.47,46,0,12.66,clear sky
303,Jumla,NP,29.2747,82.1838,27.1,82,31,4.99,scattered clouds
304,Gombe,NG,10.2897,11.1673,86.34,12,1,9.98,clear sky
305,Lastoursville,GA,-0.8143,12.7287,88.97,49,99,1.61,overcast clouds
306,San Cristobal,VE,7.7669,-72.225,68.18,48,73,2.24,broken clouds
307,Tokur,RU,53.1333,132.9,-19.08,100,97,2.53,overcast clouds
308,Qasigiannguit,GL,68.8193,-51.1922,7.05,79,100,4.14,overcast clouds
309,Antofagasta,CL,-23.65,-70.4,71.22,63,19,9.22,few clouds
310,Margate,GB,51.3813,1.3862,49.69,70,86,8.99,overcast clouds
311,Shieli,KZ,44.1667,66.75,34.88,65,100,8.23,overcast clouds
312,Blytheville,US,35.9273,-89.919,30.42,75,5,8.37,clear sky
313,Clyde River,CA,70.4692,-68.5914,-21.77,76,75,13.8,broken clouds
314,Turayf,SA,31.6725,38.6637,50.25,71,40,11.5,scattered clouds
315,Karpathos,GR,35.507,27.2132,58.96,72,40,14.97,scattered clouds
316,Manakara,MG,-22.1333,48.0167,77.32,95,100,37.89,heavy intensity rain
317,Koulikoro,ML,14.0,-7.75,91.42,5,0,8.97,clear sky
318,Half Moon Bay,US,37.4636,-122.4286,55.09,76,0,0.0,clear sky
319,Marawi,PH,7.9986,124.2928,69.66,94,35,1.68,scattered clouds
320,Bibiani,GH,6.4635,-2.3194,98.62,25,41,3.33,scattered clouds
321,Lloydminster,CA,53.2835,-110.0016,1.62,78,100,3.44,overcast clouds
