City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
189,Butaritari,KI,82.49,few clouds,3.0707,172.7902,Isles Sunset Lodge
190,Gao,ML,81.41,clear sky,16.6362,1.637,
191,Benjamin Constant,BR,82.45,broken clouds,-4.3831,-70.0311,CASA AVALIADA
192,Carnarvon,AU,80.92,few clouds,-24.8667,113.6333,Hospitality Carnarvon
193,Maun,BW,81.86,broken clouds,-19.9833,23.4167,Enviro Villa
195,Bredasdorp,ZA,76.28,scattered clouds,-34.5322,20.0403,Bredasdorp Country Manor
199,Grand-Santi,GF,82.63,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
204,Malindi,KE,78.62,overcast clouds,-3.2175,40.1191,African House Resort
210,Sao Filipe,CV,75.36,clear sky,14.8961,-24.4956,Hotel Xaguate
213,Fougamou,GA,82.2,light rain,-1.2154,10.5838,Résidence d'Hôtes Bapedy
214,Lamu,KE,80.82,overcast clouds,-2.2717,40.902,Lamu House
216,Salinopolis,BR,81.54,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
218,Inongo,CD,82.29,broken clouds,-1.95,18.2667,Hotel Du Lac
221,Tabou,CI,84.13,broken clouds,4.423,-7.3528,hotêl doufoulougou
228,Quatre Cocos,MU,80.71,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
235,Azare,NG,84.43,clear sky,11.6765,10.1948,Mallam Ayuba Compound
237,Lorengau,PG,80.53,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
238,Samarai,PG,80.24,overcast clouds,-10.6167,150.6667,Nuli Sapi
241,Cidreira,BR,85.91,heavy intensity rain,-30.1811,-50.2056,Hotel Castelo
245,Kisangani,CD,76.95,light rain,0.5167,25.2,Grand Ramela Hotel
246,Garowe,SO,80.46,few clouds,8.4054,48.4845,Curubo Hotel
250,Vao,NC,79.9,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
252,Kinablangan,PH,77.47,broken clouds,7.6947,126.5503,Morales Eatery and Lodging House
254,Eluru,IN,75.29,broken clouds,16.7,81.1,Sri Krishna Residency - VTR Square Eluru
256,Dubai,AE,75.13,clear sky,25.2582,55.3047,"Radisson Blu Hotel, Dubai Deira Creek"
257,Kalmunai,LK,76.41,clear sky,7.4167,81.8167,VS Villa
261,Buin,CL,84.06,clear sky,-33.7333,-70.75,Paihuen
265,Ugoofaaru,MV,81.59,few clouds,5.6667,73.0,Ungoofaaru Inn
268,Beloha,MG,76.03,overcast clouds,-25.1667,45.05,
269,Sechura,PE,79.97,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
276,Loiza,PR,75.04,broken clouds,18.4313,-65.8802,Malibu Beachfront
280,Thinadhoo,MV,82.78,overcast clouds,0.5333,72.9333,
282,Saint-Joseph,RE,80.98,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
283,Port Blair,IN,80.64,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
291,Mana,GF,81.99,broken clouds,5.6592,-53.7767,LE SAMANA
294,Georgetown,MY,80.89,light rain,5.4112,100.3354,Cititel Penang
297,Banda Aceh,ID,79.39,moderate rain,5.5577,95.3222,Sulthan Hotel International
304,Gombe,NG,86.34,clear sky,10.2897,11.1673,Shinani Lodge
305,Lastoursville,GA,88.97,overcast clouds,-0.8143,12.7287,Auberge Bon Coin 02
316,Manakara,MG,77.32,heavy intensity rain,-22.1333,48.0167,La Residence Manakara
322,Ranong,TH,76.03,scattered clouds,9.9658,98.6348,Tinidee Hotel@Ranong
325,Acapulco,MX,80.42,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
326,Tshela,CD,79.21,light rain,-4.9833,12.9333,Hotel Mirador
333,Dhidhdhoo,MV,80.76,broken clouds,6.8833,73.1,Dhidhoo beach
334,Tecoanapa,MX,80.38,clear sky,16.5167,-98.75,Hotel Manglares
335,Puerto Padre,CU,83.41,clear sky,21.195,-76.6028,Casa Villa Velázquez
336,Manjeshwar,IN,76.15,overcast clouds,12.7194,74.8861,Mangalore Beach House - EWA Ikigai
340,Takoradi,GH,83.97,few clouds,4.8845,-1.7554,Raybow International Hotel
341,Port-Gentil,GA,80.37,clear sky,-0.7193,8.7815,Fengshui Residence
344,Mabaruma,GY,81.64,broken clouds,8.2,-59.7833,Monty Brooms Guest House
353,Davila,PH,75.25,scattered clouds,18.4726,120.5763,Blue Ridge Beach Resort
359,Tessalit,ML,78.21,clear sky,20.1986,1.0114,
364,Xai-Xai,MZ,77.56,light rain,-25.0519,33.6442,Complexo da Familia
368,Kerema,PG,75.85,overcast clouds,-7.9631,145.7785,Frena Lodge
372,San Policarpo,PH,79.93,overcast clouds,12.1791,125.5072,Agapita M. Nicart
373,Belmonte,BR,81.1,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
374,Padre Paraiso,BR,76.84,overcast clouds,-17.0742,-41.4844,Pousada Três Irmãos
379,Ipixuna,BR,84.15,overcast clouds,-1.7625,-48.8043,Casa da Oscarina
387,Mahebourg,MU,80.89,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
391,Vila Velha,BR,79.95,mist,-20.3297,-40.2925,Quality Suites Vila Velha
396,Sao Joao Da Barra,BR,87.89,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
404,Ron Phibun,TH,78.75,broken clouds,8.1791,99.8542,Villa One Homestay&Camping
406,Arlit,NE,79.57,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
408,Kongolo,CD,75.38,overcast clouds,-5.3833,27.0,GUEST HOUSE OASIS
411,Luangwa,ZM,77.97,light rain,-15.6167,30.4167,Gerasimos Safari Lodge
416,Yei,SS,85.06,overcast clouds,4.095,30.6779,City Link Hotel
422,Basoko,CD,86.45,broken clouds,1.2391,23.616,Jackyna Hotel
424,Canutama,BR,77.79,overcast clouds,-6.5339,-64.3831,Hotel Jhennifer
425,Bontang,ID,79.38,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
427,Keningau,MY,75.65,overcast clouds,5.3378,116.1602,Sabindo Hotel
431,Maxixe,MZ,79.83,few clouds,-23.8597,35.3472,Oceano
437,Ghanzi,BW,82.04,broken clouds,-21.5667,21.7833,Ghanzi Farmhouse
438,Puerto Escondido,MX,81.73,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
444,Huarmey,PE,75.18,few clouds,-10.0681,-78.1522,Hotel Miramar
450,Kovur,IN,75.13,scattered clouds,14.4833,79.9833,Hotel Yesh Park
452,Morondava,MG,76.73,heavy intensity rain,-20.2833,44.2833,La Case Bambou
453,Cockburn Town,TC,76.17,clear sky,21.4612,-71.1419,Osprey Beach Hotel
455,Tambura,SS,81.39,overcast clouds,5.6,27.4667,Rikito Lodge
457,Jacareacanga,BR,84.9,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
459,Batticaloa,LK,77.65,clear sky,7.7102,81.6924,Grand Star Guest House
460,Mocuba,MZ,76.23,light rain,-16.8392,36.9856,Phama Lodge
470,Itarema,BR,85.78,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
472,Young,UY,79.23,clear sky,-32.6833,-57.6333,Posada Gira el Sol
473,Poum,NC,80.38,broken clouds,-20.2333,164.0167,
476,Port Moresby,PG,76.42,light rain,-9.4431,147.1797,Lamana Hotel (Port Moresby)
479,Tautira,PF,75.22,scattered clouds,-17.7333,-149.15,Pension Oaoa
482,Chiredzi,ZW,84.24,scattered clouds,-21.05,31.6667,Clevers Hotel Chiredzi
486,Jutai,BR,79.7,overcast clouds,-5.1833,-68.9,
487,Campoverde,PE,87.49,broken clouds,-8.4753,-74.8058,Hospedaje Coral's
489,Boa Vista,BR,89.58,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
495,Bartica,GY,78.75,overcast clouds,6.4,-58.6167,Sloth Island Nature Resort
498,Maldonado,UY,78.19,broken clouds,-34.6667,-54.9167,La Cimarrona
503,Maragogi,BR,84.56,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
510,Kattivakkam,IN,81.07,scattered clouds,13.2167,80.3167,Euronova Freezer
514,Kaduna,NG,89.35,clear sky,10.5222,7.4383,HAMDALA HOTEL
518,Luganville,VU,78.66,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
523,Daru,PG,78.19,light rain,-9.0763,143.2092,Daru Lodge
525,Kudat,MY,78.73,moderate rain,6.8837,116.8477,Dream Garden Hotel
530,Phuket,TH,82.62,few clouds,8.0,98.25,The Surin
532,Natal,BR,88.45,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
534,Cam Ranh,VN,76.96,scattered clouds,11.9214,109.1591,OYO 598 Peony Hotel
540,Kavieng,PG,81.1,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
541,Oum Hadjer,TD,83.82,few clouds,13.2954,19.6966,
543,Carutapera,BR,79.38,light rain,-1.195,-46.02,Lidera
544,Kajiado,KE,77.72,light rain,-1.8524,36.7768,Masai Lodge
547,Harper,LR,84.02,broken clouds,4.375,-7.7169,Screensaver
550,Gusau,NG,85.3,scattered clouds,12.1628,6.6614,GUEST INN
